,el_price,gas_price,length,n_cons,DN,T_source,dt_max,elec_factor,typical_days,region,ins,tot_dem,h_dem,c_dem,Investment_costs,Maintenance_costs,Operation_costs,upd_tac,upd_LCOE,total_losses,total_gains,total_generated,COP_h,COP_c,Generation_Investment,Generation_Maintenance,Generation_Operation,Transmission_Investment,Transmission_Maintenance,Transmission_Operation,Consumers_Investment,Consumers_Maintenance,Consumers_Operation
0,0.1,0.06826666666666667,50,50,100,278.15,25,0.807451564828614,VIC_Medoid_24d_norescale_des.csv,VIC,S3,979.2944893891965,934.8175020697995,44.47698731939701,37593.429341227005,17776.195173203916,30579.61533132544,85949.23984575635,87.766489832251,-3.5187339428324185,2060.3349075773704,585875.1886469374,3.1733390865148947,5.668227974796692,1266.824673028509,620.7580675939133,0,1316.2968904625159,0,133.08219364367835,35010.30777773598,17155.437105610003,30446.53313768176
1,0.1,0.06826666666666667,100,50,100,278.15,25,0.807451564828614,VIC_Medoid_24d_norescale_des.csv,VIC,S3,979.2944893891965,934.8175020697995,44.47698731939701,38909.73553293405,17776.19973091636,30703.998928645102,87389.93419249551,89.23764520211093,-7.088253230768456,4665.911124617838,585662.3748033217,3.1626588070522232,5.536781559180816,1266.8339742730334,620.7626253063577,0,2632.5937809250318,0,236.1847409781754,35010.30777773598,17155.437105610003,30467.814187666925
2,0.1,0.06826666666666667,500,50,100,278.15,25,0.807451564828614,VIC_Medoid_24d_norescale_des.csv,VIC,S3,979.2944893891965,934.8175020697995,44.47698731939701,49440.18489841055,17776.236110205948,31310.216562099093,98526.6375707156,100.60981516619012,-35.26960890739374,31540.547037721582,582301.0593306042,3.132332185297303,5.593893304550025,1266.9082160494086,620.7990045959459,0,13162.968904625159,0,506.272633277223,35010.30777773598,17155.437105610003,30803.943928821867
3,0.1,0.06826666666666667,1000,50,100,278.15,25,0.807451564828614,VIC_Medoid_24d_norescale_des.csv,VIC,S3,979.2944893891965,934.8175020697995,44.47698731939701,62598.23049568997,17773.823635284054,31664.30278926036,112036.35692023438,114.4051744742416,-70.92728063638604,62783.43431415678,579623.1580450998,3.1104413557542627,5.444800897068851,1261.984908703661,618.3865296740523,0,26325.937809250318,0,592.5684328585144,35010.30777773598,17155.437105610003,31071.73435640185
4,0.1,0.06826666666666667,2500,50,100,278.15,25,0.807451564828614,VIC_Medoid_24d_norescale_des.csv,VIC,S3,979.2944893891965,934.8175020697995,44.47698731939701,102085.3383152172,17772.942157204896,32202.036652033665,152060.31712445576,155.27537300786662,-152.17278068112066,126349.9185459333,575816.1258249581,3.0806150328291575,5.6825701665207315,1260.186014355428,617.5050515948915,0,65814.8445231258,0,749.5996310588431,35010.30777773598,17155.437105610003,31452.43702097482
5,0.1,0.06826666666666667,5000,50,100,278.15,25,0.807451564828614,VIC_Medoid_24d_norescale_des.csv,VIC,S3,979.2944893891965,934.8175020697995,44.47698731939701,167900.182784047,17772.94213059926,32681.889251557972,218355.01416620423,222.97175827303607,-274.64570155924406,201436.23530940348,573419.2362227353,3.0623186036822516,5.478257069083242,1260.185960059435,617.505024989256,0,131629.6890462516,0,989.765491557404,35010.30777773598,17155.437105610003,31692.12376000057
6,0.1,0.06826666666666667,7500,50,100,278.15,25,0.807451564828614,VIC_Medoid_24d_norescale_des.csv,VIC,S3,979.2944893891965,934.8175020697995,44.47698731939701,233715.027306938,17772.94213048422,33034.185464244234,284522.15490166645,290.53789027152396,-380.0927472464836,256703.36304141523,572823.3906004746,3.058232929109113,5.3557161695573905,1260.1859598246697,617.5050248742182,0,197444.53356937738,0,1282.4751374003731,35010.30777773598,17155.437105610003,31751.710326843862
7,0.1,0.06826666666666667,10000,50,100,278.15,25,0.807451564828614,VIC_Medoid_24d_norescale_des.csv,VIC,S3,979.2944893891965,934.8175020697995,44.47698731939701,299529.87183017645,17772.942130539417,33326.47172182005,350629.2856825359,358.04274350734846,-375.41073003669624,307233.38354586286,572595.5714952747,3.0611367520784936,5.906086924640033,1260.18595993731,617.5050249294131,0,263259.3780925032,0,1551.9802578091872,35010.30777773598,17155.437105610003,31774.491464010858
8,0.1,0.06826666666666667,50,100,150,278.15,25,0.807451564828614,VIC_Medoid_24d_norescale_des.csv,VIC,S3,1958.588978778393,1869.635004139599,88.95397463879402,74321.42838026099,35567.06994940312,60539.999088879704,170428.49741854382,87.01595856259904,-1.448563596394655,3391.629096353903,1178657.6964103926,3.2013556096194082,5.223160337011513,2563.60704493442,1256.1957381831166,0,1737.2057798545993,0,337.6666305711186,70020.61555547196,34310.874211220005,60202.33245830859
9,0.1,0.06826666666666667,100,100,150,278.15,25,0.807451564828614,VIC_Medoid_24d_norescale_des.csv,VIC,S3,1958.588978778393,1869.635004139599,88.95397463879402,76058.6422896883,35567.07393298345,60841.14014387867,172466.85636655043,88.0566868471409,-2.923585511949464,8069.887021241431,1177656.75320262,3.1945689288939647,5.095064379617893,2563.6151745071306,1256.1997217634444,0,3474.4115597091986,0,538.7140954172719,70020.61555547196,34310.874211220005,60302.426048461406
10,0.1,0.06826666666666667,500,100,150,278.15,25,0.807451564828614,VIC_Medoid_24d_norescale_des.csv,VIC,S3,1958.588978778393,1869.635004139599,88.95397463879402,89949.06931274831,35563.536437597904,61953.24915908791,187465.8549094341,95.7147502312404,-14.912144372293449,51046.8074535287,1169702.434001188,3.151502247276535,5.432756903929611,2556.3959587303575,1252.662226377899,0,17372.057798545997,0,855.3922611206274,70020.61555547196,34310.874211220005,61097.85689796727
