,el_price,gas_price,length,n_cons,DN,T_source,dt_max,elec_factor,typical_days,region,ins,tot_dem,h_dem,c_dem,Investment_costs,Maintenance_costs,Operation_costs,upd_tac,upd_LCOE,total_losses,total_gains,total_generated,COP_h,COP_c,Generation_Investment,Generation_Maintenance,Generation_Operation,Transmission_Investment,Transmission_Maintenance,Transmission_Operation,Consumers_Investment,Consumers_Maintenance,Consumers_Operation
0,0.1,0.0806,50,50,100,278.15,25,0.5590118938700823,NRW_Medoid_24d_norescale_des.csv,NRW,S3,773.952974436808,769.134381366308,4.818593070500001,33254.81486823123,15650.226210306053,24443.11023622058,73348.15131475785,94.77081132498007,-0.00013808629889585145,1550.94669758666,520800.02985105664,3.191238081262604,4.916228077299996,1045.585744088177,512.3485513210511,0,1316.2968904625159,0,91.53422564597929,30892.932233680538,15137.877658985002,24351.576010574594
1,0.1,0.0806,100,50,100,278.15,25,0.5590118938700823,NRW_Medoid_24d_norescale_des.csv,NRW,S3,773.952974436808,769.134381366308,4.818593070500001,34571.1141946836,15650.227403967958,24528.19362802081,74749.53522667236,96.58149486545523,-0.00028114178239680544,3437.9967037906968,520635.9047051004,3.187481450073754,5.298602024088809,1045.5881800780264,512.3497449829553,0,2632.5937809250318,0,160.20517756934328,30892.932233680538,15137.877658985002,24367.988450451467
2,0.1,0.0806,500,50,100,278.15,25,0.5590118938700823,NRW_Medoid_24d_norescale_des.csv,NRW,S3,773.952974436808,769.134381366308,4.818593070500001,45101.508735393225,15650.236918516854,24946.726367458148,85698.47202136823,110.72826754587966,-0.0014987250447282409,19635.586384743467,518365.0632175916,3.1606112645368647,5.475397273772793,1045.6075970875224,512.3592595318505,0,13162.968904625159,0,351.65528174796515,30892.932233680538,15137.877658985002,24595.071085710184
3,0.1,0.0806,1000,50,100,278.15,25,0.5590118938700823,NRW_Medoid_24d_norescale_des.csv,NRW,S3,773.952974436808,769.134381366308,4.818593070500001,58261.01936353167,15648.542324880651,25201.069343829382,99110.6310322417,128.0576912368129,-0.0032094130599935157,37737.68186979179,516403.91869615065,3.142023996738327,5.1173087213375865,1042.1493206008092,510.66466589564874,0,26325.937809250318,0,409.88348246621786,30892.932233680538,15137.877658985002,24791.18586136316
4,0.1,0.0806,2500,50,100,278.15,25,0.5590118938700823,NRW_Medoid_24d_norescale_des.csv,NRW,S3,773.952974436808,769.134381366308,4.818593070500001,97740.60740267938,15643.976071444244,25598.837979391916,138983.42145351553,179.57605441680917,-0.008536256182280252,75176.08203315397,513471.4274868658,3.1207387364209325,4.893522216364991,1032.8306458730463,506.0984124592411,0,65814.8445231258,0,514.4032741572076,30892.932233680538,15137.877658985002,25084.434705234708
5,0.1,0.0806,5000,50,100,278.15,25,0.5590118938700823,NRW_Medoid_24d_norescale_des.csv,NRW,S3,773.952974436808,769.134381366308,4.818593070500001,163555.45204923535,15643.976131926403,25950.449273046044,205149.8774542078,265.06762585090104,-0.020069654601215306,120576.85086246337,511019.7291332617,3.1008421055282946,5.071943306901787,1032.8307693032455,506.09847294140064,0,131629.6890462516,0,620.8449329004217,30892.932233680538,15137.877658985002,25329.604340145623
6,0.1,0.0806,7500,50,100,278.15,25,0.5590118938700823,NRW_Medoid_24d_norescale_des.csv,NRW,S3,773.952974436808,769.134381366308,4.818593070500001,229370.29634643567,15643.976021220418,26187.91957241142,271202.1919400675,350.41171866729576,-0.032305786206411724,152984.27199273978,509823.3382454178,3.091685531156953,4.789128949673175,1032.8305433777539,506.0983622354169,0,197444.53356937738,0,738.6772249247415,30892.932233680538,15137.877658985002,25449.242347486677
7,0.1,0.0806,10000,50,100,278.15,25,0.5590118938700823,NRW_Medoid_24d_norescale_des.csv,NRW,S3,773.952974436808,769.134381366308,4.818593070500001,295185.1408497065,15643.976011491251,26391.27525401311,337220.3921152109,435.71173346881994,-0.013224958904053636,182878.53981708287,509155.82141352503,3.0829519268979317,4.687955469121408,1032.8305235227583,506.09835250625,0,263259.3780925032,0,875.2800007156131,30892.932233680538,15137.877658985002,25515.9952532975
8,0.1,0.0806,50,100,125,278.15,25,0.5590118938700823,NRW_Medoid_24d_norescale_des.csv,NRW,S3,1547.905948873616,1538.268762732616,9.637186141000003,65336.53056794037,31295.62088436888,49103.492596141885,145735.64404845113,94.1501931396416,-0.0012242970353884086,1815.774467182683,1039251.5089263394,3.180334019962737,5.712340511699002,2081.311432156018,1019.865566398875,0,1469.3546684232738,0,165.4848043086468,61785.864467361076,30275.755317970004,48938.00779183323
9,0.1,0.0806,100,100,125,278.15,25,0.5590118938700823,NRW_Medoid_24d_norescale_des.csv,NRW,S3,1547.905948873616,1538.268762732616,9.637186141000003,66805.88837644855,31295.62242304513,49259.48650462656,147360.99730412025,95.2002267394555,-0.0024579199935214203,4083.642903495758,1039007.4156314707,3.1770090536918025,4.9086885366972375,2081.314572240924,1019.8671050751259,0,2938.7093368465476,0,297.0707973131335,61785.864467361076,30275.755317970004,48962.415707313434
