,el_price,gas_price,length,n_cons,DN,T_source,dt_max,elec_factor,typical_days,region,ins,tot_dem,h_dem,c_dem,Investment_costs,Maintenance_costs,Operation_costs,upd_tac,upd_LCOE,upd_LCOH,total_losses,total_gains,total_generated,ASHP_COP_c,CENHP_COP_h,Generation_Investment,Generation_Maintenance,Generation_Operation,Transmission_Investment,Transmission_Maintenance,Transmission_Operation,Consumers_Investment,Consumers_Maintenance,Consumers_Operation
0,0.1,0.0806,50,50,100,278.15,4.5,0.5590118938700823,NRW_Medoid_24d_norescale.csv,NRW,S3,773.8827362815064,769.0718385256602,4.8108977558464145,39422.43504796629,17152.60977635174,19471.033650136356,76046.07847445438,98.26563497184924,77.12615572943274,0.0,1694.6584299636615,422827.05663935747,4.385895934656088,2.221268124061479,15311.103750334054,7502.609776351738,19355.495180690396,1316.2968904625159,0,3.171887226952041,22795.03440716972,9650.0,112.36658221900902
1,0.1,0.0806,100,50,100,278.15,4.5,0.5590118938700823,NRW_Medoid_24d_norescale.csv,NRW,S3,773.8827362815064,769.0718385256602,4.8108977558464145,40738.733721932025,17152.610650287992,19473.24868092991,77364.59305314993,99.96940030589842,78.84057889856501,0.0,3379.34098734939,422844.1795972977,4.385895934656088,2.221466137059433,15311.10553383727,7502.610650287994,19354.537951736125,2632.5937809250318,0,6.3441469747796955,22795.03440716972,9650.0,112.36658221900902
2,0.1,0.0806,500,50,100,278.15,4.5,0.5590118938700823,NRW_Medoid_24d_norescale.csv,NRW,S3,773.8827362815064,769.0718385256602,4.8108977558464145,51269.122009864,17152.61710090685,19491.62963857619,87913.36874934702,113.60037461459508,92.55682121530295,0.0,15668.06540889248,422969.56813070376,4.385895934656088,2.222916795798727,15311.118698069118,7502.617100906849,19347.52864414301,13162.968904625159,0,31.734412214170895,22795.03440716972,9650.0,112.36658221900902
3,0.1,0.0806,1000,50,100,278.15,4.5,0.5590118938700823,NRW_Medoid_24d_norescale.csv,NRW,S3,773.8827362815064,769.0718385256602,4.8108977558464145,64432.105765269655,17152.62437795315,19515.57548995389,101100.3056331767,130.6403423843798,109.70338181373745,0.0,29277.691458621903,423109.4436318511,4.385895934656088,2.2245371470496855,15311.133548849617,7502.624377953151,19339.709502811198,26325.937809250318,0,63.499404923684544,22795.03440716972,9650.0,112.36658221900902
4,0.1,0.0806,2500,50,100,278.15,4.5,0.5590118938700823,NRW_Medoid_24d_norescale.csv,NRW,S3,773.8827362815064,769.0718385256602,4.8108977558464145,103921.04624404294,17152.64092312563,19593.865803483728,140667.5529706523,181.76856308561364,161.1514330300289,0.0,58734.65671700663,423415.8330685147,4.385895934656088,2.2280864516010346,15311.167313747417,7502.640923125628,19322.58196830416,65814.8445231258,0,158.91725296056018,22795.03440716972,9650.0,112.36658221900902
5,0.1,0.0806,5000,50,100,278.15,4.5,0.5590118938700823,NRW_Medoid_24d_norescale.csv,NRW,S3,773.8827362815064,769.0718385256602,4.8108977558464145,169735.93732742555,17152.6637381652,19730.376116990585,206618.97718258132,266.9900328509485,246.90600224993483,0.0,97286.61644425703,423824.8404522784,4.385895934656088,2.232838308940547,15311.213874004228,7502.663738165199,19299.71794412328,131629.6890462516,0,318.29159064829975,22795.03440716972,9650.0,112.36658221900902
6,0.1,0.0806,7500,50,100,278.15,4.5,0.5590118938700823,NRW_Medoid_24d_norescale.csv,NRW,S3,773.8827362815064,769.0718385256602,4.8108977558464145,235550.82004583004,17152.68245427321,19872.080361073182,272575.58286117646,352.2181980320398,332.6673087684994,0.0,127005.8312289443,424146.61305417947,4.385895934656088,2.2365829104920865,15311.252069282953,7502.682454273211,19281.730462413947,197444.53356937738,0,477.9833164402264,22795.03440716972,9650.0,112.36658221900902
7,0.1,0.0806,10000,50,100,278.15,4.5,0.5590118938700823,NRW_Medoid_24d_norescale.csv,NRW,S3,773.8827362815064,769.0718385256602,4.8108977558464145,301365.6996010572,17152.699620389427,20016.8583904587,338535.25761190534,437.4503290234404,418.43260590533924,0.0,156478.76322659018,424433.9143897336,4.385895934656088,2.2398913743330398,15311.287101384345,7502.699620389428,19265.66996742013,263259.3780925032,0,638.8218408195626,22795.03440716972,9650.0,112.36658221900902
8,0.1,0.0806,50,100,125,278.15,4.5,0.5590118938700823,NRW_Medoid_24d_norescale.csv,NRW,S3,1547.7654725630127,1538.1436770513203,9.621795511692829,77659.0279977488,34294.143840323886,38944.64649837789,150897.81833645058,97.49398149228143,76.34967520275802,0.0,2257.8346240604164,845643.5141713211,4.385895934656088,2.221209609612501,30599.604514986073,14994.143840323888,38711.58275774801,1469.3546684232738,0,8.330576191867866,45590.06881433944,19300.0,224.73316443801804
9,0.1,0.0806,100,100,125,278.15,4.5,0.5590118938700823,NRW_Medoid_24d_norescale.csv,NRW,S3,1547.7654725630127,1538.1436770513203,9.621795511692829,79128.38479019771,34294.14488111989,38951.64993652203,152374.17960783964,98.44784775791422,77.30950834020541,0.0,4507.806512697944,845667.2670565842,4.385895934656088,2.2213496677285023,30599.606639011716,14994.14488111989,38710.254950236165,2938.7093368465476,0,16.661821847844138,45590.06881433944,19300.0,224.73316443801804
