,el_price,gas_price,length,n_cons,DN,T_source,dt_max,elec_factor,typical_days,region,ins,tot_dem,h_dem,c_dem,Investment_costs,Maintenance_costs,Operation_costs,upd_tac,upd_LCOE,upd_LCOH,total_losses,total_gains,total_generated,ASHP_COP_c,CENHP_COP_h,Generation_Investment,Generation_Maintenance,Generation_Operation,Transmission_Investment,Transmission_Maintenance,Transmission_Operation,Consumers_Investment,Consumers_Maintenance,Consumers_Operation
0,0.1,0.06826666666666667,50,50,100,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,979.1899791248677,934.7531761622067,44.43680296266068,48595.465640360766,18771.11710227964,35415.6092967812,102782.1920394216,104.96654809650035,85.28087613448339,0.0,3011.0462696039435,511297.2665732587,4.02326592517767,2.2075035908646714,18614.10554926382,9121.11710227964,34192.01370550456,1316.2968904625159,0,5.753553551471535,28665.06320063443,9650.0,1217.8420377251666
1,0.1,0.06826666666666667,100,50,100,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,979.1899791248677,934.7531761622067,44.43680296266068,49911.8003125978,18771.135615766023,35417.48534905139,104100.42127741521,106.31279271306776,86.6911192570645,0.0,6004.380987278171,511345.3188919856,4.02326592517767,2.20781822342319,18614.14333103833,9121.135615766023,34188.13369596072,2632.5937809250318,0,11.509615365509452,28665.06320063443,9650.0,1217.8420377251666
2,0.1,0.06826666666666667,500,50,100,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,979.1899791248677,934.7531761622067,44.43680296266068,60442.454334182,18771.272278806515,35435.17121410904,114648.89782709755,117.085448453591,97.97589134309365,0.0,27854.190867340054,511697.5948989809,4.02326592517767,2.21012562968044,18614.422228922416,9121.272278806513,34159.68911541247,13162.968904625159,0,57.64006097140438,28665.06320063443,9650.0,1217.8420377251666
3,0.1,0.06826666666666667,1000,50,100,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,979.1899791248677,934.7531761622067,44.43680296266068,73605.73785427384,18771.426443856562,35461.23602971373,127838.40032784414,130.55525797159123,112.08603596426346,0.0,52074.40029537291,512091.1939528848,4.02326592517767,2.2127067406392174,18614.73684438908,9121.426443856562,34127.90791548135,26325.937809250318,0,115.48607650720838,28665.06320063443,9650.0,1217.8420377251666
4,0.1,0.06826666666666667,2500,50,100,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,979.1899791248677,934.7531761622067,44.43680296266068,113095.36069734556,18771.777355064303,35565.57841192492,167432.71646433478,170.99104365219767,154.44407993374432,0.0,104686.49147820254,512958.5204716501,4.02326592517767,2.218389236579887,18615.45297358533,9121.777355064303,34057.875528480785,65814.8445231258,0,289.86084571897277,28665.06320063443,9650.0,1217.8420377251666
5,0.1,0.06826666666666667,5000,50,100,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,979.1899791248677,934.7531761622067,44.43680296266068,178911.19293332443,18772.26134526048,35764.57499953838,233448.0292781233,238.4093324635154,225.06733588760585,0.0,173726.44041828465,514122.1766877242,4.02326592517767,2.226032453082788,18616.440686438407,9122.261345260476,33963.91592015502,131629.6890462516,0,582.8170416581917,28665.06320063443,9650.0,1217.8420377251666
6,0.1,0.06826666666666667,7500,50,100,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,979.1899791248677,934.7531761622067,44.43680296266068,244726.84844410222,18772.658738158178,35985.25919417743,299484.76637643785,305.8495008742804,295.71351156516806,0.0,227148.90202890366,515044.09712813114,4.02326592517767,2.232093502569626,18617.251674090396,9122.658738158176,33889.47527920753,197444.53356937738,0,877.941877244732,28665.06320063443,9650.0,1217.8420377251666
7,0.1,0.06826666666666667,10000,50,100,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,979.1899791248677,934.7531761622067,44.43680296266068,310542.43673553417,18773.02319283475,36216.65080394079,365532.1107323097,373.30050197102406,366.3710348988045,0.0,278286.88361529657,515873.15696779266,4.02326592517767,2.2375157098258525,18617.995442396586,9123.023192834751,33822.53272271786,263259.3780925032,0,1176.2760434977693,28665.06320063443,9650.0,1217.8420377251666
8,0.1,0.06826666666666667,50,100,125,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,1958.3799582497354,1869.5063523244135,88.87360592532136,96005.05937345616,37531.143885400816,70837.38143663626,204373.58469549322,104.35849480309643,84.64391687415811,0.0,3993.891105302957,1022563.1328460046,4.02326592517767,2.20740592529879,37205.57830376403,18231.143885400816,68386.56278032619,1469.3546684232738,0,15.134580859749034,57330.12640126886,19300.0,2435.6840754503332
9,0.1,0.06826666666666667,100,100,125,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,1958.3799582497354,1869.5063523244135,88.87360592532136,97474.45857598736,37531.165707605076,70847.27236893473,205852.89665252718,105.11387015852851,85.43520167251927,0.0,7973.893298209982,1022628.129470747,4.02326592517767,2.207623782815466,37205.62283787196,18231.16570760508,68381.31462183109,2938.7093368465476,0,30.273671653304646,57330.12640126886,19300.0,2435.6840754503332
10,0.1,0.06826666666666667,500,100,125,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,1958.3799582497354,1869.5063523244135,88.87360592532136,109229.63071960058,37531.32976145037,70929.37311597237,217690.33359702333,111.15837490063976,91.76705335613528,0.0,37583.22127518936,1023113.1426927837,4.02326592517767,2.20924948676492,37205.95763409898,18231.32976145037,68342.15215845399,14693.546684232735,0,151.53688206804563,57330.12640126886,19300.0,2435.6840754503332
11,0.1,0.06826666666666667,1000,100,125,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,1958.3799582497354,1869.5063523244135,88.87360592532136,123923.53899910081,37531.50694712119,71039.79951872371,232494.8454649457,118.71794565990837,99.68599508613553,0.0,68755.87170728573,1023626.7184976686,4.02326592517767,2.21096930787816,37206.31922936647,18231.506947121186,68300.68340437408,29387.09336846547,0,303.4320388992932,57330.12640126886,19300.0,2435.6840754503332
12,0.1,0.06826666666666667,2500,100,125,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,1958.3799582497354,1869.5063523244135,88.87360592532136,168005.10040480076,37531.958420258015,71394.24034508922,276931.299170148,141.40836051940096,123.4550791814921,0.0,145371.06397732388,1024901.685696922,4.02326592517767,2.215236926621601,37207.24058236822,18231.95842025801,68197.7359813618,73467.73342116368,0,760.8202882770904,57330.12640126886,19300.0,2435.6840754503332
13,0.1,0.06826666666666667,5000,100,125,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,1958.3799582497354,1869.5063523244135,88.87360592532136,241474.03389094956,37532.54646534192,72033.11488662678,351039.6952429183,179.25004479552234,163.095701948368,0.0,238748.9226106222,1026481.4223163957,4.02326592517767,2.220511991067306,37208.44064735333,18232.54646534192,68070.17990225201,146935.46684232735,0,1527.2509089244365,57330.12640126886,19300.0,2435.6840754503332
14,0.1,0.06826666666666667,7500,100,125,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,1958.3799582497354,1869.5063523244135,88.87360592532136,314942.8006043983,37533.052789962676,72697.97442921574,425173.82782357675,217.1048708053404,202.7500911877976,0.0,314944.576950887,1027791.723705939,4.02326592517767,2.2248841095426015,37209.47393963841,18233.05278996268,67964.37940991853,220403.20026349102,0,2297.9109438468768,57330.12640126886,19300.0,2435.6840754503332
15,0.1,0.06826666666666667,10000,100,125,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,1958.3799582497354,1869.5063523244135,88.87360592532136,388411.5178108147,37533.53485559136,73373.29081579082,499318.3434821969,254.96499868618608,242.41003434147243,0.0,385631.41438894195,1029024.1005634655,4.02326592517767,2.229007375724032,37210.45772489117,18233.53485559136,67864.87095040051,293870.9336846547,0,3072.7357899399917,57330.12640126886,19300.0,2435.6840754503332
16,0.1,0.06826666666666667,50,500,250,278.15,5.0,0.807451564828614,VIC_Medoid_24d_norescale.csv,VIC,S3,9791.899791248656,9347.531761622053,444.36802962660704,475508.8291745282,187611.35042403976,354182.5515316428,1017302.7311302108,103.89227349317932,84.15553208299886,0.0,6601.87727836299,5112594.85804824,4.02326592517767,2.2072562547087213,185937.34457209942,91111.35042403975,341950.6433302565,2920.852596084459,0,53.48782413465283,286650.63200634427,96500.0,12178.420377251667
